ID,착과량(int),수고(m),수관폭1(min),수관폭2(max),수관폭평균,2022-09-01 새순,2022-09-02 새순,2022-09-03 새순,2022-09-04 새순,2022-09-05 새순,2022-09-06 새순,2022-09-07 새순,2022-09-08 새순,2022-09-09 새순,2022-09-10 새순,2022-09-11 새순,2022-09-12 새순,2022-09-13 새순,2022-09-14 새순,2022-09-15 새순,2022-09-16 새순,2022-09-17 새순,2022-09-18 새순,2022-09-19 새순,2022-09-20 새순,2022-09-21 새순,2022-09-22 새순,2022-09-23 새순,2022-09-24 새순,2022-09-25 새순,2022-09-26 새순,2022-09-27 새순,2022-09-28 새순,2022-09-29 새순,2022-09-30 새순,2022-10-01 새순,2022-10-02 새순,2022-10-03 새순,2022-10-04 새순,2022-10-05 새순,2022-10-06 새순,2022-10-07 새순,2022-10-08 새순,2022-10-09 새순,2022-10-10 새순,2022-10-11 새순,2022-10-12 새순,2022-10-13 새순,2022-10-14 새순,2022-10-15 새순,2022-10-16 새순,2022-10-17 새순,2022-10-18 새순,2022-10-19 새순,2022-10-20 새순,2022-10-21 새순,2022-10-22 새순,2022-10-23 새순,2022-10-24 새순,2022-10-25 새순,2022-10-26 새순,2022-10-27 새순,2022-10-28 새순,2022-10-29 새순,2022-10-30 새순,2022-10-31 새순,2022-11-01 새순,2022-11-02 새순,2022-11-03 새순,2022-11-04 새순,2022-11-05 새순,2022-11-06 새순,2022-11-07 새순,2022-11-08 새순,2022-11-09 새순,2022-11-10 새순,2022-11-11 새순,2022-11-12 새순,2022-11-13 새순,2022-11-14 새순,2022-11-15 새순,2022-11-16 새순,2022-11-17 새순,2022-11-18 새순,2022-11-19 새순,2022-11-20 새순,2022-11-21 새순,2022-11-22 새순,2022-11-23 새순,2022-11-24 새순,2022-11-25 새순,2022-11-26 새순,2022-11-27 새순,2022-11-28 새순,2022-09-01 엽록소,2022-09-02 엽록소,2022-09-03 엽록소,2022-09-04 엽록소,2022-09-05 엽록소,2022-09-06 엽록소,2022-09-07 엽록소,2022-09-08 엽록소,2022-09-09 엽록소,2022-09-10 엽록소,2022-09-11 엽록소,2022-09-12 엽록소,2022-09-13 엽록소,2022-09-14 엽록소,2022-09-15 엽록소,2022-09-16 엽록소,2022-09-17 엽록소,2022-09-18 엽록소,2022-09-19 엽록소,2022-09-20 엽록소,2022-09-21 엽록소,2022-09-22 엽록소,2022-09-23 엽록소,2022-09-24 엽록소,2022-09-25 엽록소,2022-09-26 엽록소,2022-09-27 엽록소,2022-09-28 엽록소,2022-09-29 엽록소,2022-09-30 엽록소,2022-10-01 엽록소,2022-10-02 엽록소,2022-10-03 엽록소,2022-10-04 엽록소,2022-10-05 엽록소,2022-10-06 엽록소,2022-10-07 엽록소,2022-10-08 엽록소,2022-10-09 엽록소,2022-10-10 엽록소,2022-10-11 엽록소,2022-10-12 엽록소,2022-10-13 엽록소,2022-10-14 엽록소,2022-10-15 엽록소,2022-10-16 엽록소,2022-10-17 엽록소,2022-10-18 엽록소,2022-10-19 엽록소,2022-10-20 엽록소,2022-10-21 엽록소,2022-10-22 엽록소,2022-10-23 엽록소,2022-10-24 엽록소,2022-10-25 엽록소,2022-10-26 엽록소,2022-10-27 엽록소,2022-10-28 엽록소,2022-10-29 엽록소,2022-10-30 엽록소,2022-10-31 엽록소,2022-11-01 엽록소,2022-11-02 엽록소,2022-11-03 엽록소,2022-11-04 엽록소,2022-11-05 엽록소,2022-11-06 엽록소,2022-11-07 엽록소,2022-11-08 엽록소,2022-11-09 엽록소,2022-11-10 엽록소,2022-11-11 엽록소,2022-11-12 엽록소,2022-11-13 엽록소,2022-11-14 엽록소,2022-11-15 엽록소,2022-11-16 엽록소,2022-11-17 엽록소,2022-11-18 엽록소,2022-11-19 엽록소,2022-11-20 엽록소,2022-11-21 엽록소,2022-11-22 엽록소,2022-11-23 엽록소,2022-11-24 엽록소,2022-11-25 엽록소,2022-11-26 엽록소,2022-11-27 엽록소,2022-11-28 엽록소
TRAIN_1711,184,249.0,373.0,390.0,381.5,4.5,4.5,4.4,4.4,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4.0,4.0,4.0,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.0,3.0,3.0,2.9,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.1,2.1,2.0,2.0,1.9,1.9,1.8,1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.5,0.0,85.85937773072976,85.68843469872722,85.50123832105542,85.32437862580574,85.24142337811418,85.17347451923573,85.09297114890612,84.92676294763213,84.82769893717402,84.78155227826872,84.61442788317314,84.46574613302163,84.45182668334061,84.25276636008323,84.2112204127906,84.11207109913695,84.11002416994728,84.10748883471767,84.03551759297288,83.88836202045144,83.70740855376552,83.6086045270775,83.57904055189498,83.44535354463683,83.28711353725596,83.20165582714237,83.09229977070027,82.98817693706695,82.9185425165941,82.79475924457489,82.76848396455426,82.61737101252763,82.45559876586171,82.27236874555959,82.26235135851391,82.13558709767676,82.1085215549452,82.04540356309927,81.97154509226527,81.90749129699536,81.85545253406953,81.67955095682372,81.58996929711249,81.56254668311792,81.53799238565249,81.47785732326177,81.3004135386207,81.10875789709137,80.99175284312152,80.98235593384707,80.88582049703116,80.84984840192551,80.73932452042607,80.7172034458888,80.6297134686224,80.45583435219568,80.41702942141956,80.2525523965402,80.08866018167565,80.04034838856185,79.88799523629535,79.8009811889305,79.70232076898876,79.54916031851121,79.46389864175907,79.418511096036,79.22829837631748,79.13804338874874,79.05081629813736,79.00289248648308,78.88094466881452,78.69549012792068,78.6419223561508,78.60365948032818,78.5991104541669,78.59581980115797,78.42368241188748,78.38242414970895,78.37024638221483,78.29716399132087,78.27191942226086,78.0794899436254,78.06463059928102,77.91455500259636,77.79300510241312,77.61181632748686,77.52175783076721,77.4166110597877,77.31425429973189
TRAIN_1502,191,235.0,345.0,362.0,353.5,4.5,4.5,4.4,4.4,4.4,4.3,4.2,4.2,4.2,4.1,4.1,4.0,4.0,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.0,3.0,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.8,1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.0,0.0,81.8758343074174,81.74638757451041,81.72146480515873,81.66694876030725,81.63387446102439,81.59073012918766,81.48023776922936,81.46840170537466,81.36100349529626,81.24391426073981,81.05922918187844,81.01402552619287,80.92378522782359,80.80196375134162,80.6804973727729,80.60130916284265,80.54286296846398,80.40360992734874,80.21668725707694,80.02551484749242,79.88174153580445,79.80456791494416,79.69146204805,79.60043986875753,79.48360343874383,79.35991559638697,79.30905203862585,79.11323948715147,78.95204260577009,78.80250176377992,78.71723480860922,78.60982484504906,78.41349076423191,78.2380575457794,78.17098271997438,78.11235885184935,78.0349097150082,77.90996314873908,77.7108638139372,77.53213375877208,77.465543171953,77.4301761398127,77.2836350458714,77.20747739608426,77.11597563701578,77.01513597353298,76.98136209442006,76.96575677353498,76.88688095371239,76.69025828460151,76.65858880237055,76.65512175049625,76.58127917580346,76.42925632761363,76.25932979873602,76.2244000286597,76.05736119862343,75.92076585856269,75.87463793654729,75.85107201845264,75.66669688310142,75.62588648900248,75.56865436447504,75.39240034668578,75.25168635736192,75.09734717329872,75.07584195132381,74.94459330838791,74.87043953709974,74.68454901895619,74.53045907910176,74.52860709433239,74.43736649128887,74.40301367703194,74.30070413735274,74.26966377729636,74.2484978830963,74.24801951969279,74.11070169605124,74.09253085907463,73.93444796667944,73.79572150171197,73.7398712468001,73.72521528606606,73.60590983887798,73.42816853538524,73.42158084375129,73.23113554016197,73.17588725497147
TRAIN_0292,247,224.0,235.0,338.0,286.5,4.4,4.4,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4.0,4.0,4.0,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.0,3.0,2.9,2.9,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.1,2.0,2.0,2.0,1.9,1.9,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.5,0.0,0.0,70.57398383035634,70.42264985398498,70.39288051972757,70.28003098805901,70.10676390452197,69.91752088752936,69.74098141375134,69.5993523572066,69.55978156233786,69.38264602077277,69.37909967417328,69.20669207538278,69.04496120575635,69.02170562415853,68.95815763591959,68.79678976440842,68.70423753495999,68.695909345967,68.59019756731679,68.49676380752885,68.43994384729628,68.37897961344748,68.22014816988731,68.1652047969171,68.09352398176443,67.9912680593644,67.85202313994644,67.66078320717217,67.53288808562584,67.41056044706133,67.33940066413089,67.29267324842246,67.17075210493259,67.02644885565593,66.98964655593956,66.8564244112799,66.78093954298988,66.67423242710545,66.58378999149377,66.55818058942876,66.48924182314215,66.35488929054058,66.28547451973013,66.26405581418305,66.24456901987529,66.05799440106819,65.88372923942272,65.71524401267845,65.68592356503348,65.65697709772249,65.49839891751247,65.39738141501977,65.23066261153008,65.13472218650325,64.96291552813052,64.83617001140809,64.72673502533749,64.66030083635022,64.55851063501372,64.54564617431626,64.46844666118841,64.39049735201762,64.33457719346062,64.26731412004195,64.07628429387609,63.94992684615782,63.87783099782273,63.684516717548014,63.49367503589154,63.372252248328685,63.308164680770375,63.285442644278994,63.278578615021125,63.1220313681963,63.06509883646884,62.89773926571184,62.8855167686343,62.725693422254544,62.59131266562355,62.46797292944354,62.397244887316624,62.20296725657846,62.14590141493871,62.12133242849246,62.0010900427596,61.89020829334014,61.7181006120645,61.69264007792081,61.61569921233866
TRAIN_0905,88,234.0,333.0,360.0,346.5,4.8,4.8,4.8,4.7,4.7,4.6,4.6,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.2,4.1,4.1,4.0,3.9,3.9,3.9,3.8,3.8,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.0,3.0,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.8,1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.0,0.0,0.0,74.86994712737483,74.84201286315718,74.71067336744393,74.51587057441333,74.42677252379798,74.29011924158226,74.17831415604635,74.15179887777067,74.05047376113113,73.91024682813253,73.86103847070238,73.78892556355429,73.59589328579733,73.54876198946491,73.44556291928576,73.2876876829577,73.09706808470432,73.07452156160048,72.88260755507706,72.7906062876133,72.64708424811336,72.5660927914745,72.50947291809406,72.50355481689448,72.40274898847409,72.39615147918532,72.33776164424226,72.21268142284745,72.14766076609612,72.06197324732652,71.88393388395491,71.86396281151436,71.83770651157782,71.70610500205159,71.62620676441874,71.44155172843291,71.36969568198442,71.24408948095218,71.13122477344318,70.96032080991695,70.9510435703869,70.86650116251363,70.86489049823295,70.85609495270965,70.720903747856,70.70339088761034,70.62664132848813,70.61938476945926,70.5792225921281,70.39721593980055,70.28886204609262,70.26268657380443,70.17661741657982,70.00186982423445,69.95883507910764,69.89652536505434,69.84965121909863,69.74218718326607,69.64571091671637,69.46983587643939,69.3024931976824,69.25132147078959,69.1552921613647,69.01647281494088,68.97541968037025,68.93868644320104,68.93183006497993,68.81230806728145,68.78986537500911,68.63177947514612,68.59548229158038,68.43757451251292,68.42032978588571,68.26735184342593,68.13013700914725,68.08434850127642,67.98038900484435,67.81071345649583,67.74343696817085,67.69477502048949,67.50573067093154,67.40316862119244,67.20328663102251,67.07199895384785,67.03319129428814,67.01346253086888,66.86451962241834,66.771278861166,66.73588121591054
TRAIN_1107,197,228.0,345.0,359.0,352.0,4.8,4.8,4.7,4.7,4.6,4.5,4.5,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4.0,4.0,3.9,3.9,3.8,3.8,3.7,3.6,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.0,3.0,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.8,1.8,1.7,1.7,1.6,1.5,1.5,1.5,1.4,1.3,1.3,1.3,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.8,0.7,0.7,0.6,0.6,0.5,0.0,0.0,0.0,69.24936621429217,69.08420944854593,69.0388914167255,68.9432634852773,68.84575374097149,68.84295739106514,68.75317013958762,68.73138117486678,68.60175557259313,68.58840402434767,68.51466437925374,68.33717485863427,68.31985232236644,68.12189905968906,67.94795152716421,67.7871794857349,67.63269092109991,67.59197135508694,67.40136548008155,67.21984551810519,67.17759624576841,67.06512328491054,66.869942289842,66.75405465880058,66.71268228816767,66.63376063648269,66.61525579711845,66.44813366079305,66.38663184270041,66.33156966081657,66.1644435125526,65.98915536431552,65.92562614248145,65.7556444215334,65.59237287633978,65.52873191917344,65.36119981458462,65.22902812039445,65.21469080060683,65.09240954810815,64.96627975911767,64.94120621782463,64.90015478740716,64.70483991928937,64.53679006482173,64.46237162583843,64.36778267490628,64.21091887292793,64.1637964153949,63.97536628138229,63.80957663772255,63.6699484778941,63.57601385718383,63.42151438143111,63.251574710326274,63.14990447377855,62.97497034876309,62.78720174461732,62.63668849353966,62.5042828012904,62.37031680649818,62.245886740688704,62.1848519678918,62.16979782915386,62.10093942741528,61.96345917727747,61.9579562884768,61.87386130317193,61.80629420490765,61.69789999702461,61.66974568307153,61.61482320558221,61.49727262199229,61.29802490994904,61.28367905131823,61.21094145658057,61.15627357159436,60.96271587647744,60.77129364222736,60.67602627315469,60.517854915772574,60.50731749743584,60.49760154747426,60.34515165796599,60.19105643407103,60.00470838061059,59.9168706201129,59.81068428424603,59.63728964045034
TRAIN_2197,199,337.0,273.0,343.0,308.0,4.5,4.5,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.2,4.1,4.1,4.0,4.0,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.0,3.0,3.0,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,82.43751932165671,82.3012511583065,82.1735284948825,82.04079850756254,81.95519342350516,81.87343566159788,81.72276302753566,81.58961101118368,81.51419766694977,81.32967619392639,81.20015748749866,81.11929449003543,81.04792720158001,80.9955643581606,80.80033590407486,80.73492189964348,80.60630347299175,80.6048198511234,80.49785990295145,80.30027434862804,80.13723960449623,80.04494362169464,79.97285704276499,79.87823942078282,79.86398022769686,79.69473089887583,79.57913999145569,79.51936525763126,79.51396854751864,79.49135924509179,79.34466524961854,79.23848178971606,79.20905725702168,79.08735761974911,79.0746914584821,79.02877303857912,79.01732461567723,78.8483902385376,78.70990486792643,78.58692249791783,78.38797937970052,78.28713312718949,78.12675868589511,77.97474522347397,77.95771595516986,77.81888391798363,77.78317511493107,77.6509257889713,77.49227196176429,77.29419794076081,77.15543169555576,76.96239486995351,76.92854080094223,76.78480894012141,76.75727542204412,76.61278757745312,76.4696502694762,76.45933030515262,76.42394916527125,76.36604186862147,76.26040986168667,76.22104763261216,76.04526240841349,75.92681584673556,75.86034091516414,75.7063441671299,75.61031261287536,75.53086046606118,75.35226796585808,75.26004877973635,75.14868190824714,74.95357411894668,74.92763294425473,74.90778331235786,74.80016996290885,74.78233458063784,74.6075877849429,74.49349944838511,74.44283789222126,74.27404539278503,74.13024428122222,74.09515485309491,73.95165033164511,73.83362464726652,73.76194603197806,73.61172243421414,73.41832140641466,73.41555173446072,73.30111749668987
TRAIN_0141,566,273.0,342.0,399.0,370.5,3.4,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,83.74464443921154,83.7176541439217,83.66378021163824,83.57210558773815,83.40134455044365,83.20965772149435,83.15942124523646,82.97905692376105,82.86559092686646,82.758373695643,82.72278141757891,82.65325452731494,82.55543044041622,82.49176068721175,82.3511242414559,82.3265397152916,82.25753074415371,82.1708854185176,82.1418115853118,82.07757597354139,81.93497210196291,81.78347043448719,81.62393734237092,81.42924391142735,81.42752809748629,81.23618777267015,81.06336070550464,80.91376254027912,80.84541234189976,80.83370285884284,80.71769926604989,80.61750565712472,80.55704513753761,80.4644637373241,80.37252521901303,80.36305109809702,80.36039652101339,80.16287041280953,80.16164174214938,79.96973649173573,79.83839813543682,79.79143880360047,79.68896478380519,79.67495384358735,79.58799293303743,79.42141779855643,79.41176191129334,79.34673750478375,79.29835516123457,79.21108026809102,79.14898116431989,79.13310230629845,79.1251597721478,78.9667891254972,78.7808630522313,78.60928140072032,78.41415834076126,78.31711972072479,78.30293081299415,78.18053598708988,78.1771316669601,78.04723562413972,77.9835136611487,77.90241290504194,77.84443116493728,77.76301796741197,77.74960960994503,77.57184491238894,77.38819861233824,77.20888741994891,77.05087723207858,76.97390742194554,76.94566168605881,76.84594538139824,76.81048434141975,76.70181256704227,76.61824007397547,76.49812622307299,76.34346741723459,76.3419974435493,76.15563459985741,76.12594882196505,76.11579504663572,76.10758398727896,76.01632656549069,75.81725863312221,75.62009357310464,75.44756895398899,75.39130061752482
TRAIN_1428,397,310.0,246.0,335.0,290.5,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.0,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,66.69861309789339,66.62953685129608,66.5085924966175,66.39183132344444,66.26267111545008,66.25255469265467,66.09617113253599,65.93388774663929,65.87891534675968,65.87202183295388,65.76752109669363,65.76652293127736,65.7522170936865,65.57439089519946,65.39534217792442,65.36111654572885,65.21795537311753,65.13138499810394,64.97715775421602,64.95796985007568,64.93683356327587,64.75124853625096,64.66273810076429,64.47308431554701,64.38770078183464,64.24114015362706,64.14695784158921,63.97282155194583,63.82650362720195,63.817227012612,63.6410967284928,63.619707581317584,63.58376269259123,63.45664117333199,63.35268250294803,63.23687507484176,63.19680728501382,63.11582020045965,63.08998451208821,63.0869401280063,63.05625267697708,63.01767749978038,62.842709449956025,62.76361057840224,62.75513687054077,62.67057276285863,62.547987380946,62.47612113546271,62.291810557724986,62.25683775133501,62.13325740638565,61.94675774487765,61.82527003918815,61.71922585517248,61.54605743637573,61.393376223981925,61.32542700404622,61.19275175855429,61.13955567290737,60.98705426309956,60.90383769884501,60.816021610806665,60.72311003362473,60.70304232684472,60.65072111234871,60.49164856092068,60.40144996274498,60.29842166876957,60.219602525809165,60.05639330848445,60.02300148085399,59.918399643387744,59.90982222909608,59.71577723095778,59.65346153814487,59.50827631366994,59.48690056973428,59.460329011728746,59.42691038403599,59.27601950532831,59.18594082220857,59.05016802795498,58.86209393355819,58.74095645860939,58.6203506660954,58.4804407725516,58.29937223610695,58.13387609582277,57.96165069823422
TRAIN_0002,634,300.0,392.0,450.0,421.0,3.0,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,79.11852906601754,78.94145190543833,78.92819706481312,78.7418777953367,78.71369063150406,78.65424717677197,78.4617428467839,78.32326358041475,78.21969612176123,78.12382030221956,78.03609527939497,77.98906229728682,77.91846625821658,77.8881914718856,77.73587386549295,77.55993986910222,77.47255436693136,77.31715286579406,77.18442635129733,76.99663764498322,76.9411511060216,76.76974854542571,76.66756372485509,76.5256997796807,76.33123848224034,76.30255177720618,76.1437879312217,75.99888973143551,75.95255681789604,75.88333315108497,75.79300945529965,75.71024931009752,75.70053565681327,75.56600801882067,75.52744450187039,75.51175645801493,75.50537857242857,75.38974047535949,75.3160410151854,75.13526785989178,75.09258879934107,75.01500266621517,74.94281818087882,74.84721742307154,74.73879574283421,74.62545252575791,74.51117540422767,74.41976044620945,74.37916721038907,74.31269028058061,74.16040318359956,74.13314124635829,74.00666839961343,73.94045568104394,73.92083066610078,73.81019503799503,73.67036735611683,73.65641693407392,73.52565620266726,73.5086783625986,73.31511489824923,73.26387109322798,73.2372064523639,73.15847571897763,73.05359330391879,72.93362857749571,72.80143894009892,72.77351760254757,72.64916899411726,72.45101376367808,72.30687007189441,72.11636388170771,71.95930884571598,71.95661055183407,71.83845758289421,71.75949891534609,71.63560228006429,71.4812133095345,71.31581961632419,71.27980365572293,71.19956952444532,71.14402047511948,71.02674039768212,70.92003804319825,70.87672307246706,70.71012891680813,70.5959713018287,70.4182028471513,70.39957831192383
TRAIN_0576,225,215.0,270.0,490.0,380.0,4.2,4.1,4.1,4.1,4.0,4.0,4.0,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3.0,3.0,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.1,2.1,2.0,2.0,2.0,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.0,72.27960260767121,72.21514256585805,72.03723727838234,71.90156610312464,71.85965038733397,71.76667803215496,71.72032538462177,71.52298781146996,71.33767917004137,71.19976620930021,71.09946191139126,71.04903793994364,70.88630577407385,70.76511058180645,70.7498058824793,70.5591558322525,70.54952357160217,70.52025620911078,70.35865734733059,70.31080808156197,70.2345873828772,70.20449049014323,70.18397457026059,70.01109421252325,69.91181092895658,69.8853737910913,69.78455575728015,69.67029486285692,69.63301913140694,69.53253278775551,69.39971955295722,69.27538217694783,69.23756247200748,69.13414853158626,69.00671887394839,68.83755706653724,68.67890772526798,68.57055059140457,68.48791275702871,68.39007135204851,68.3760907357148,68.3693681835131,68.18577695982434,68.14177916238182,68.02698282271452,67.90496856617803,67.75714484581086,67.57296142476721,67.46673135416889,67.35238350220042,67.18740946083616,67.062625945491,66.8844578344009,66.80707548174365,66.71823598925998,66.5980996788226,66.42700868812192,66.393182666563,66.38769697342168,66.23409280836238,66.20104801228806,66.12969705146104,65.99300040758995,65.93640037851213,65.80663835564978,65.62646744572707,65.44668270046225,65.37508889963235,65.21422458047006,65.08481213119755,65.05229367310459,64.89192347535527,64.76564089312004,64.71715894526062,64.53273966013981,64.53183257107452,64.38902938280508,64.25788185803518,64.1933619985456,64.1075604349542,63.93301666727666,63.81526582789272,63.65740137706064,63.47989546021284,63.30386932180417,63.252731000365486,63.07594293959298,62.9182147683033,62.81931691396108
